posición,Nombre de la canción,Artista(s),Popularidad,Albúm
1,アイドル,YOASOBI,74,Mix 2 Anime op
2,廻廻奇譚,Eve,51,Mix 2 Anime op
3,Black Catcher,VK Blanka,62,Mix 2 Anime op
4,Young Girl A,Siinamota,71,Mix 2 Anime op
5,Lost Umbrella,稲葉曇,65,Mix 2 Anime op
6,光るなら,Goose house,66,Mix 2 Anime op
7,Shinzo wo Sasageyo !,Linked Horizon,66,Mix 2 Anime op
8,NIGHT DANCER,imase,69,Mix 2 Anime op
9,Wild Side,ALI,64,Mix 2 Anime op
10,Bling-Bang-Bang-Born,Creepy Nuts,81,Mix 2 Anime op
11,KICK BACK,Kenshi Yonezu,75,Mix 2 Anime op
12,Kaikai Kitan,Eve,73,Mix 2 Anime op
13,Black Rover,VK Blanka,64,Mix 2 Anime op
14,愛して 愛して 愛して,Kikuo,66,Mix 2 Anime op
15,the WORLD,Nightmare,62,Mix 2 Anime op
16,紅蓮華,LiSA,73,Mix 2 Anime op
17,SPECIALZ,King Gnu,57,Mix 2 Anime op
18,Guren no Yumiya,Linked Horizon,63,Mix 2 Anime op
19,Shinunoga E-Wa,Fujii Kaze,77,Mix 2 Anime op
20,Kyouran Hey Kids!!,THE ORAL CIGARETTES,67,Mix 2 Anime op
21,ブルーバード,Ikimonogakari,68,Mix 2 Anime op
22,Boku no Sensou,Shinsei Kamattechan,62,Mix 2 Anime op
23,The Rumbling,SiM,68,Mix 2 Anime op
24,crossing field,LiSA,67,Mix 2 Anime op
25,残響散歌,Aimer,68,Mix 2 Anime op
26,Suzume,"RADWIMPS,Toaka",67,Mix 2 Anime op
27,Cry Baby,OFFICIAL HIGE DANDISM,59,Mix 2 Anime op
28,Mind brand,Maretu,62,Mix 2 Anime op
29,しかばねの踊り,Kikuo,64,Mix 2 Anime op
30,DADDY ! DADDY ! DO !,"Masayuki Suzuki,鈴木愛理",61,Mix 2 Anime op
31,怪物,YOASOBI,66,Mix 2 Anime op
32,Flashback,"MIYAVI,Ken Ken",53,Mix 2 Anime op
